DATA;ORA;OPEN;HIGH;LOW;CLOSE;N
26/08/2004;00:00;1.2084;1.2124;1.2043;1.2103;0
27/08/2004;00:00;1.2104;1.2136;1.2003;1.2011;0
30/08/2004;00:00;1.2013;1.2069;1.1988;1.205;0
31/08/2004;00:00;1.205;1.2195;1.2044;1.2177;0
01/09/2004;00:00;1.218;1.2221;1.2146;1.219;0
02/09/2004;00:00;1.219;1.22;1.2142;1.2166;0
03/09/2004;00:00;1.2167;1.2195;1.2042;1.2056;0
06/09/2004;00:00;1.2056;1.2085;1.2048;1.2065;0
07/09/2004;00:00;1.2064;1.2111;1.2056;1.21;0
08/09/2004;00:00;1.2104;1.2192;1.2027;1.2183;0
09/09/2004;00:00;1.218;1.2237;1.216;1.2228;0
10/09/2004;00:00;1.2232;1.231;1.2198;1.2266;0
13/09/2004;00:00;1.2261;1.2287;1.2223;1.2257;0
14/09/2004;00:00;1.2258;1.2295;1.2226;1.2246;0
15/09/2004;00:00;1.2243;1.2261;1.2135;1.215;0
16/09/2004;00:00;1.2148;1.2201;1.2121;1.218;0
17/09/2004;00:00;1.2182;1.2223;1.2158;1.2179;0
20/09/2004;00:00;1.2188;1.2188;1.2124;1.2166;0
21/09/2004;00:00;1.217;1.2346;1.2168;1.2328;0
22/09/2004;00:00;1.2325;1.2331;1.2225;1.2262;0
23/09/2004;00:00;1.2261;1.2334;1.2255;1.2262;0
24/09/2004;00:00;1.2259;1.2363;1.2238;1.2271;0
27/09/2004;00:00;1.2271;1.2316;1.2249;1.2295;0
28/09/2004;00:00;1.2298;1.2347;1.2281;1.2324;0
29/09/2004;00:00;1.2322;1.2342;1.2289;1.233;0
30/09/2004;00:00;1.2329;1.2443;1.231;1.2428;0
01/10/2004;00:00;1.2428;1.2438;1.2386;1.2411;0
04/10/2004;00:00;1.2412;1.2414;1.2258;1.2284;0
05/10/2004;00:00;1.2281;1.2329;1.2264;1.2309;0
06/10/2004;00:00;1.2309;1.2322;1.2248;1.2282;0
07/10/2004;00:00;1.228;1.2314;1.2273;1.2283;0
